cod_mun_6;chuva_mm;tem_estacao
270030;60,8;S
500325;1330,6;S
350370;126,4;S
520740;1462,8;S
330455;1326,8;S
150170;2464,8;S
130240;1650,2;S
352900;1400,2;S
510787;1392,2;S
312800;1407,8;S
521150;549,8;S
431530;1764,4;S
310620;1944,6;S
240200;549,4;S
160053;2344,2;S
352710;293,0;S
150730;333,4;S
350635;2286,8;S
261390;764,6;S
330550;1191,4;S
510410;0,0;S
316935;1355,4;S
210120;1091,2;S
210405;0,0;S
352410;1314,4;S
150360;2074,6;S
500110;1065,4;S
410720;2420,8;S
312600;702,4;S
430040;1734,8;S
330330;1029,8;S
250750;1710,0;S
313670;1600,6;S
411620;2343,8;S
290100;1110,2;S
410490;474,0;S
220440;859,2;S
500190;1374,4;S
314700;1363,8;S
130120;0,0;S
171886;1514,0;S
522020;975,6;S
520170;1399,6;S
431560;1871,6;S
270630;725,4;S
430360;2193,6;S
291640;714,0;S
220260;575,8;S
290340;1221,8;S
293330;209,0;S
431250;121,6;S
211130;2107,6;S
510760;680,6;S
291930;1065,2;S
130140;0,0;S
160050;3114,6;S
311960;1654,6;S
260410;100,2;S
293010;536,2;S
250400;534,0;S
350860;1577,6;S
261000;192,6;S
411020;1980,6;S
317010;1508,0;S
355000;749,8;S
411330;1947,8;S
522040;485,2;S
510030;1387,6;S
150810;422,2;S
312610;975,4;S
120030;2226,0;S
510385;0,0;S
510025;1092,2;S
500830;961,2;S
420360;1899,8;S
170040;1672,8;S
330170;1595,4;S
170200;155,6;S
330580;2365,6;S
330600;1458,6;S
510267;245,2;S
510420;756,0;S
251080;200,8;S
150840;1855,2;S
250970;73,0;S
431130;1864,2;S
220700;1189,4;S
317040;1373,6;S
410570;1458,8;S
320460;1391,0;S
432160;1179,0;S
510788;249,6;S
150240;2641,6;S
310930;1513,0;S
412560;1764,0;S
314505;946,2;S
150658;2042,4;S
355630;1530,0;S
350760;1447,4;S
351080;1003,2;S
410860;1232,8;S
291960;263,0;S
230700;3,0;S
130014;348,0;S
280550;0,0;S
355030;1523,8;S
431000;2259,4;S
510706;1766,2;S
430390;2128,2;S
280450;9,8;S
291560;706,8;S
313330;752,0;S
171660;1174,8;S
411520;1168,2;S
291170;325,8;S
240800;950,2;S
310100;42,4;S
280300;948,2;S
330460;1106,0;S
350600;1053,2;S
290460;598,2;S
313960;1136,6;S
221120;1032,2;S
411230;982,6;S
130190;237,8;S
240810;81,4;S
231340;833,4;S
260600;0,0;S
171190;1009,6;S
420850;1977,6;S
120020;1433,0;S
270230;16,4;S
210320;1597,2;S
320020;1279,6;S
316720;1448,0;S
312160;1553,6;S
230690;0,0;S
290990;470,0;S
130340;2779,4;S
432240;1588,0;S
520620;958,8;S
310340;315,0;S
330090;488,8;S
316860;1187,6;S
130250;1048,4;S
520060;468,2;S
330420;1577,8;S
410850;1815,4;S
521800;1494,2;S
430280;2325,2;S
500500;975,8;S
500630;683,4;S
411830;827,2;S
520860;939,4;S
290475;506,0;S
510735;1173,0;S
521190;1777,2;S
352260;724,4;S
270640;17,0;S
110002;1370,4;S
110030;1862,2;S
500320;980,0;S
293290;0,0;S
314390;1347,0;S
410830;85,4;S
150548;685,8;S
230870;1093,4;S
521310;765,4;S
230550;944,8;S
510890;1171,6;S
316250;1429,2;S
431800;1459,0;S
431740;2217,4;S
411280;711,6;S
220220;118,6;S
150420;0,0;S
420420;2097,8;S
352240;1192,0;S
220060;0,0;S
292070;658,0;S
430700;2246,2;S
510060;0,0;S
320210;874,2;S
521880;1460,8;S
291080;644,6;S
280290;0,0;S
420750;1944,8;S
320506;1489,4;S
315690;1601,6;S
520440;1451,4;S
430440;3310,2;S
150670;1045,4;S
250310;502,8;S
230640;0,0;S
130070;2334,0;S
270850;0,0;S
352030;2147,4;S
520510;1819,6;S
431490;1989,4;S
314560;1422,8;S
230510;42,6;S
291750;0,0;S
500769;729,0;S
170950;1317,8;S
171650;1436,8;S
240100;52,8;S
411140;702,2;S
431730;1443,6;S
150590;2108,2;S
421900;2081,8;S
315700;1481,8;S
150790;1915,8;S
171620;580,0;S
421650;2198,4;S
221060;0,0;S
314590;1020,0;S
320430;1236,0;S
330025;803,8;S
420845;2311,4;S
130030;1529,0;S
430660;1861,6;S
313940;0,0;S
130170;1741,0;S
355090;1380,6;S
311110;1371,8;S
170220;1663,4;S
430850;1924,8;S
260990;653,2;S
230270;0,0;S
500560;964,6;S
170550;1951,2;S
221000;1130,2;S
330340;1059,6;S
351960;162,4;S
330610;1235,0;S
410390;1616,2;S
430160;1878,0;S
313900;904,2;S
316670;194,0;S
315560;927,6;S
351440;1143,4;S
210280;629,2;S
510550;902,0;S
314270;425,4;S
311340;1398,2;S
351620;83,8;S
292430;941,8;S
330240;1056,6;S
311230;733,0;S
431570;2121,8;S
510190;1046,6;S
170384;0,0;S
311730;1209,2;S
431690;2204,2;S
240720;0,0;S
130040;2159,0;S
317130;1533,8;S
411700;385,4;S
150230;1188,0;S
421165;1905,4;S
431862;669,6;S
231140;494,6;S
510080;532,6;S
221100;1305,8;S
354140;595,2;S
500720;1075,4;S
150550;1968,6;S
231330;0,0;S
130330;1620,4;S
150210;0,0;S
510020;1851,0;S
231130;977,2;S
210480;1667,2;S
312430;223,8;S
312320;1520,4;S
421720;1204,0;S
430690;1278,8;S
220045;681,4;S
291460;195,8;S
150180;0,0;S
520870;1739,4;S
355500;1285,4;S
